Team,Pot
Canada,Pot 1
Mexico,Pot 1
United States,Pot 1
Spain,Pot 1
Argentina,Pot 1
France,Pot 1
England,Pot 1
Brazil,Pot 1
Portugal,Pot 1
Netherlands,Pot 1
Belgium,Pot 1
Germany,Pot 1
Croatia,Pot 2
Morocco,Pot 2
Colombia,Pot 2
Uruguay,Pot 2
Switzerland,Pot 2
Japan,Pot 2
Senegal,Pot 2
Iran,Pot 2
South Korea,Pot 2
Ecuador,Pot 2
Austria,Pot 2
Australia,Pot 2
Norway,Pot 3
Panama,Pot 3
Egypt,Pot 3
Algeria,Pot 3
Scotland,Pot 3
Paraguay,Pot 3
Tunisia,Pot 3
Ivory Coast,Pot 3
Uzbekistan,Pot 3
Qatar,Pot 3
Saudi Arabia,Pot 3
South Africa,Pot 3
Jordan,Pot 4
Cape Verde,Pot 4
Ghana,Pot 4
Curazao,Pot 4
Haiti,Pot 4
New Zealand,Pot 4
UEFA Path A,Pot 4
UEFA Path B,Pot 4
UEFA Path C,Pot 4
UEFA Path D,Pot 4
DR Congo/Jamaica/New Caledonia,Pot 4
Bolivia/Suriname/Iraq,Pot 4
